index,sentence,LB,UB,Currency,Rate
26,Royal Enfield 250 s 1956 - 1967 Limited Edition ExtraAuthor : R.m . ClarkeList Price:$ 24.95 Buy New:$ 19.71 You Save:$ 5.24 ( 21 % ),1956,1967,-,-
27,Name : Marky Comics Alternate Lex and Rex # 6 Price : $ 2.00,2.00,2.00,$,-
28,"Price : $ 149.95 This program includes an intelligent machine translator and integrates a group of tools into your Office applications helping to translate documents , emails and Web pages .",149.95,149.95,$,-
29,"$ 115.00 . This includes a $ 90.00 replacement charge , $ 15.00 overdue",115.00,115.00,$,-
30,This balance is very similar to the GP 5202 except it offers a total of 6200 gram weighing capacity . ED 6202 balances have a deep discount price of $ 1229.58,1229.58,1229.58,$,-
31,List Price : CDN$ 223.85 Amazon Price : CDN$ 141.03 Usually ships in 24 hourshttp://ca.hanamoku.com / detail/ 1551929104.html[Amazon ],223.85,223.85,$,-
32,Windmill - Colored # 2 ( 0393441 - 2 NI ) - Reg . Price $ 10.00 - OUR PRICE,0393441,2,-,-
33,Prices are $ 250 for singles and $ 425 for twins,250,250,$,-
34,Sheriff to Pay $ 160 Million in Overtime,160 Million,160 Million,$,-
35,Price:$ 0.00 $,0.00,0.00,$,-
36,"Color : Bay , Green Gender : Male Price : $ 6,500","6,500","6,500",$,-
37,chinese character reads : fortune 568 RRegular price : US $ 4.00 Sale price : US $ 3.25,4.00,4.00,$,-
38,See the price ? $ 0.00 .,0.00,0.00,$,-
39,raising the prospect of tearing up IOUs worth $ 70 billion . British Prime Minister Tony Blair called the measure thesingle,70 billion,70 billion,$,-
40,"Signpast Reproduction Vintage Sign , JENNEY AEROBrand : Husky LinerList Price:$ 134.93 Buy New:$ 89.95 You Save:$ 44.98 ( 33 % )",134.93,134.93,$,-
41,"The price is right for this travel potty , too . Potette Plus Potty Chair costs about $ 16 , and the liners are about $ 5 for ten .",16,16,$,-
42,List Price : CDN$ 5.99 Amazon Price : CDN$ 5.99 Usually ships in 24 hoursAmazon Marketplace : CDN$ 2.99 Usually ships in 1 - 2 business days.http://ca.hanamoku.com/detail/ 1551924560.html[Amazon ],1,2,-,-
43,"whereas Spondias mombin produces US$ 378 worth of fruit ( Peters , Gentry and",378,378,$,-
44,"Saying that a new highway interchange costs roughly $ 95 million , Evans said that means the state only has funding for 13 new interchanges a year .",13,13,-,-
45,and 1 MSSQL Db will cost you $ 10/month .,10/month,10/month,$,-
46,List Price : CDN$ 11.99 Amazon Price : CDN$ 10.79 Usually ships in 24 hoursAmazon Marketplace : CDN$ 9.02 Usually ships in 1 - 2 business days.http://ca.hanamoku.com/detail/ 0316024961.html[Amazon ],1,2,-,-
47,"$ 16,000 ( does not include trailer purchase or costs associated with racing )","16,000","16,000",$,-
48,Regular price : $ 38.90 -,38.90,38.90,$,-
49,"The premium online video market ( including Veoh and Hulu ) could be worth about $ 6 billion by 2013 , according to Parks Associates , a market research firm .",6 billion,6 billion,$,-
50,"your boat is worth about $ 15,000 . Most banks will loan at least $ 7,000 to $ 10,000 on this boat ,","7,000","10,000",$,-
51,"Vehicle cost : $ 200,000 or less","200,000","200,000",$,-
52,Breed : Husky Size : Small Price : $ 350,350,350,$,-
53,"yearbook , cost $ 100 .",100,100,$,-
54,"unit price of nearly $ 15 million , which would appear to be well above",15 million,15 million,$,-
55,The airport is about 25 km north of town and the taxi mafia charges a flat K 2500 ( US$ 20 ) for the journey .,25,25,-,-
56,price of $ 2.50 an,2.50,2.50,$,-
57,"bidding for the unusual pieces sent the final price to $ 4,140 ,","4,140","4,140",$,-
58,season tires are a no charge option . A destination charge of $ 640 brings,640,640,$,-
59,2 . Free Life Membership of online PHP Database Script Generation . worth $ 60 at,60,60,$,-
60,"Paying off $ 6,000 in out - of - pocket expenses for a knee repair would cost you $ 500 per month .",500,500,$,month
61,"October 18 , 2007 Lees Summit firm that bilked consumers in grant scam to pay $ 6,459 restitution in agreement with Nixon","6,459","6,459",$,-
62,book is now available for the incredible price of only $ 20.00,20.00,20.00,$,-
63,... what 's the ROI podcasting that cost $ 500 and sold more product,500,500,$,-
64,Study Says Yankees Worth $ 849 Million,849 Million,849 Million,$,-
65,"Cost : $ 10 individual , $ 25 family",10,10,$,-
66,"the sale of its fields and other assets could be worth up to $ 7 billion . The announcement , which was expected , prompted the U.S. FederalTrade",-,7 billion,$,-
67,Breitling Professional Airwolf Analog / Digital Chronometer Steel Grey Mens Watch A 7836323 -B 8 - 140 AOur Price $ 225.00,8,140,-,-
68,Boston Pays $ 5 Million to Slain StudentsFamily,5 Million,5 Million,$,-
69,"Cost : $ 45.00 per caricature ( 8.5 "" x 11 "" size in high resolution jpg of tiff format )",45.00,45.00,$,caricature
70,"Price : $ 100 non - members , $ 80 current 2008 OWC members , corporate tables / sponsorships available",100,100,$,-
71,Cost : From $ 20 for a used inkjet printer to $ 600 -$ 2000 for a,600,600,$,-
72,Alien Mask DeluxeOur Price : $ 50.00 More DetailsBUY NOWLatex mask with mouth open and inner jaw poised to strike .,50.00,50.00,$,-
73,Shipping charge is $ 15.00,15.00,15.00,$,-
74,"And , yes , we had to pay $ 90 to a third party company to have our appraisal reviewed .",90,90,$,-
75,Price Drop ! JVC SXXSW 6000 Home Theater Speakers System with 100 Watt Subwoofer and Five Satellite Speakers $ 42.99 - Buy.com,42.99,42.99,$,-
76,"Hopefully it can be proved that their infringement was willfull and they 'll have to pay $ 150,000 damages for "" making available "" . :o)","150,000","150,000",$,-
77,B. Kliban CatCalendar 2009 Wall CalendarBrand : PomegranateList Price:$ 18.99 Buy New:$ 13.99 You Save:$ 5.00 ( 26 % ),18.99,18.99,$,-
78,Ak 887 9 mm Silver Airsoft Pellet GunBrand : AK 887 9 mm Silver Airsoft Pellet GunList Price:$ 9.95 Buy New:$ 1.99 You Save:$ 7.96 ( 80 % ),9.95,9.95,$,-
79,Price : $ 445.00 ( 0 Bids)Buy It Now Price : $ 450.00 Sale Ends : 8 d 17 h 13 m,445.00,445.00,$,-
80,"Color : Gold , Brown Gender : Male Price : $ 2,000","2,000","2,000",$,-
81,"Cons : Expect to pay $ 13 to get in , but no less than $ 30 to make it worth it - Would just rather they be upfront",-,30,$,-
82,"Manual Version of the Platinum which works in conjunction with a bingo ball blower , wire cage with balls , or bingo card deck . Introductory Price $ 99.00",99.00,99.00,$,-
83,"NAVTNeck 19 - Navajo Turquoise Nugget NecklaceDate Added : Monday 05 January , 2009 Manufacturer : Price : $ 99.00",99.00,99.00,$,-
84,We each charge $ 2 a minute for our readings .,2,2,$,-
85,ALOT does n't currently meet the $ 100 M market cap / $ 1.50 stock price minimum . ( Learn More ),1.50,1.50,$,-
86,Price : $ 25.00 Order code : EAMFPSS,25.00,25.00,$,-
87,Wagner BP 3156 GT- 8 Bulb 1 Signals price decreased 51 % from $ 4.49 to $ 2.18 !,4.49,2.18,$,-
88,"annual selling exhibition of sculpture in the world with prices varying from six figure sums to as little as AUD$ 300 ( 190 ) , "" all in",300,300,$,-
89,"So , I want you to know what we do for every CD that arrives here . This is why we have to charge $ 35 per - album :",35,35,$,-
90,Cost : $ 1 each,1,1,$,each
91,Cipro that sells for $ 20 in India now costs $ 690 in the US ) .,20,20,$,-
92,"Kawasaki Kx 60 , 1983 - 2002 and Kx 80 , 1983 - 1990 Author : Clymer PublicationsList Price:$ 32.95 Buy New:$ 22.21 You Save:$ 10.74 ( 33 % )",1983,2002,-,-
93,"nation consumes . It will be worth at least $ 3 billion in 2008 , Pinon said .",3 billion,3 billion,$,-
94,Cost : $ 4.55 - $ 6.55 sq / ft,4.55,6.55,$,-
95,List Price : CDN$ 69.99 Amazon Marketplace : CDN$ 74.95 Usually ships in 1 - 2 business days.http://ca.hanamoku.com/detail/B 0000 DIH 1D.html[Amazon ],1,2,-,-
96,General of the Spanish Treasury . My price $ 6.95 each .,6.95,6.95,$,-
97,Clearly Charming Double Red Hearts Italian Charm Bracelet LinkBrand : Clearly CharmingList Price:$ 9.99 Buy New:$ 3.99 You Save:$ 6.00 ( 60 % ),9.99,9.99,$,-
98,Direct flights from Boston and New York can be booked on Jet Blue for the low price of $ 385.00 including taxes . *,385.00,385.00,$,-
99,Accutron 26 D 08 Lucerne Black Dial Men 's WatchOur Price $ 198.00,198.00,198.00,$,-
100,year license cost $ 35.00 ... a 1 day license cost $ 8.00 .,35.00,35.00,$,-
101,"bank books and financial forms could cost more than $ 30 million , by",30 million,-,$,-
102,"Cost : $ 25 for members ( $ 35 non - members ) , $ 5 for students to cover dinner buffet",25,25,$,-
103,"Kidnap victim told to pay $ 17,000 , documents allege","17,000","17,000",$,-
104,"Large ( Jacket Size 42 - 44 ) , and XLarge ( 46 - 48 ) . Sells for $ 159.95 .",42,44,-,-
105,Indicative prices ( to $ 5 or $ 10 ) from 2001 unless otherwise indicated,5,5,$,-
106,AT&T sells $ 99 refurb iPhones until end of December,99,99,$,-
107,Price : $ 17.00 Order code : EDJRJBA,17.00,17.00,$,-
108,mask . Available in Standard and XLarge . Sells for $ 269.95 .,269.95,269.95,$,-
109,Black - List price $ 374.95,374.95,374.95,$,-
110,"From the diner , he phones his banker at BMO and asks what it would cost to purchase $ 100,000 U.S.","100,000","100,000",$,-
111,Land price from $ 4 985.00,4 985.00,4 985.00,$,-
112,"Sheep Dog Mascot CompleteOur Price : $ 530.00 More DetailsBUY NOWOversized mascot head , plush body , mitts , spats , and parade big feet .",530.00,530.00,$,-
113,pay only $ 79 per seminar or all three for $ 199,79,79,$,seminar
114,"Minimum estimated cost : $ 3,000 . Contact Pete Gallegos at 414 - 7437 or Nancy Lehmann - Carssow at 414 - 7449 .",414,7437,-,-
115,List Price : CDN$ 23.99 Amazon Price : CDN$ 17.51 Not yet publishedhttp://ca.hanamoku.com / detail/ 0316043125.html[Amazon ],23.99,23.99,$,-
116,The Association had set their rate of pay at $ 1 per hour . Mr. Anderson of Farm Electric,1,1,$,hour
117,"Joy to the World ( The Story of Christmas ) , Bugtime Adventures DVDOur Price : $ 8.99",8.99,8.99,$,-
118,Size 38 - 42 ) and Large ( Jacket Size 42 - 44 ) . Sells for $ 57.95 .,38,42,-,-
119,"BREAKFAST , 9 a.m .- noon Oct. 5 , St. Thomas Hall , 3252 Apple . Cost , $ 5 .",5,5,$,-
120,"business at $ 37 - 39 . Second , even at higher prices above $ 48 , there were still",37,39,$,-
121,A Traveler 's Guide to MarsAuthor : William K. HartmannOur Price : $ 15.49,15.49,15.49,$,-
122,so that it has a net worth of $ 100 billion . But a substantial fraction of its,100 billion,100 billion,$,-
123,"Five - year service cost : $ 3,175","3,175","3,175",$,-
124,costs $ 0.448 ( hundredth is $ 0.0448 and thousandeth is $ 0.00448 ) .,0.448,0.448,$,-
125,Paul Smith Stripes additional cost $ 35.00,35.00,35.00,$,-
126,It costs $ 20 for an annual PUMP membership . Here is their membership page for all the details .,20,20,$,-
127,Premium Game Price : $ 110 - $ 135 per ticket,110,135,$,ticket
128,equal opportunity to obtain jobs . It can cost more than $ 50 one way from the Bermuda International Airport to some,50 one,-,$,-
129,Squirt Bust With BulbOur Price : $ 8.00 More DetailsBUY NOWQuality plastic bosom . Simply tie on and fill bulb with water to squirt .,8.00,8.00,$,-
130,American Heritage Magazine and American Legacy : Cover Price : $ 91.96 Your Price : $ 30.90,91.96,91.96,$,-
131,Food Wholesaler Agrees to Pay $ 1.5 M to Settle FLSA Complaint,1.5,1.5,$,-
132,Ms. Carpen wants a custom - made action figure of her friend Dave . She is willing to pay $ 35 and she 's got one bid .,35,35,$,-
133,AideComp SC First Aid KitINFO : Developed to give optimum support to adventure racers where weight ... Our Price:$ 59.95,59.95,59.95,$,-
134,Blonde Debbie 'S HeadOur Price : $ 74.00 More DetailsBUY NOW,74.00,74.00,$,-
135,"average ton of U.S. rough rice cost $ 240 to sow , tend and harvest this",240,240,$,-
136,Prices beginning at $ 2.9 million,2.9 million,2.9 million,$,-
137,Buy this invaluable 280 -PAGE resourcetoday . It 's suggested retail price is $ 47.00.Here is Amazon 's current discounted price :,47.00.Here,47.00.Here,$,-
138,"1 ) Click the PayPal button , the cost is $ 20.00 for a two year listing .",20.00,20.00,$,-
139,PSP 3000 Limited Edition Ratchet and Clank Entertainment Pack - SilverFrom : SonyList Price:$ 199.99 Buy New:$ 195.00 You Save:$ 4.99 ( 2 % ),199.99,199.99,$,-
140,MK 23 Navy Seal Spring Pistol Airsoft GunBrand : UTGList Price:$ 37.92 Buy New:$ 21.99 ( On sale from $ 25.99 ) You Save:$ 4.00 ( 15 % ),25.99,25.99,$,-
141,"Color : Brown , Gold Gender : Male Price : $ 850",850,850,$,-
142,Tin ManOur Price : $ 21.00 More DetailsBUY NOWOver - the - head Latex Mask of one your favorite Wizard of Oz characters .,one,one,-,-
143,Price : $ 74.95 ( 0 Bids)Buy It Now Price : $ 79.95 Sale Ends : 2 d 1 h 11 m,74.95,74.95,$,-
144,"Robin I mini - series # 1 - 5 set . # 1 w / Neal Adams poster inside . $ 11.50 guide , but get mine at cover price! ... $ 5",1,5,-,-
145,community service as well as pay $ 30 per month in probation fees to,30,30,$,month
146,"Should I put basic pay requirements in ( such as nothing under $ 10 , $ 20 , or more per article ) ?",-,10,$,article
147,"Breed : Basset Hound Color : White , Gold Gender : Female Size : Medium Price : $ 700",700,700,$,-
148,"Cost : $ 795 . FOR YOU , $ 695 . Check , Cash , Credit Cards - payment schedules arranged upon request .",795,795,$,-
149,Going the Extra Mile : Insider Tips for Long - Distance Motorcycling and Endurance RalliesAuthor : Ron AyresList Price:$ 19.95 Buy New:$ 13.57 You Save:$ 6.38 ( 32 % ),19.95,19.95,$,-
150,bulb costs about $ 38 a year ( using a rate of 10,38,38,$,year
151,your guide . In my mind the guide is worth $ 50 eight days a week ! That is my,50 eight,50 eight,$,-
152,"Birthday Clown Postcards , 25 Retail Price : $ 3.50",3.50,3.50,$,-
153,predecessor and has reduced costs by several million dollars a,million,million,dollars,-
154,todoellas.com Estimated Worth $ 7044.5 USD by websiteoutlookWww Cartoon Newort CoDisny Channle,7044.5,7044.5,$,-
155,You Pimai My Neighbor 21 .. Kathy Najimy . List Price : $ 29.99 . Our Price : $ 25.49 . Wayne 's World 2,29.99,29.99,$,-
156,an attempt was made to sell them off at prices in the $ 3000 to $ 6000 range .,3000,6000,$,-
157,"To the University , more than the purchase price of $ 108 million .",108 million,108 million,$,-
158,"Glasses Nerd BookwormOur Price : $ 2.10 More DetailsBUY NOWThick , slightly magnifying , round plastic lenses are the perfect accessory for any intellectual character .",2.10,2.10,$,-
159,"It will also produce a reserve blend made of cabernet sauvignon and other varietals , which will sell for about $ 45 a bottle .",45,45,$,-
160,"A. You may then purchase extra "" blocks "" of classes , or you may pay a per class price of $ 20.00 per class .",20.00,20.00,$,class
161,"example , if your current rent is $ 1000 and your monthly homeownership cost is $ 1,450 , that is a difference of $ 450 per",450,450,$,-
162,"Christian Cheerleaders of America Scholarships and prizes worth more than $ 1,000,000 offered by the Christian Cheerleaders of America at their National competition .","1,000,000",-,$,-
163,Sale Price : $ 28.00 List Price : $ 36.60,28.00,28.00,$,-
164,"If you buy 3 games within 90 days , you will get 45 % off for all next exclusive games ( the game will cost you $ 10.97 )",10.97,10.97,$,-
165,"attending kindergarten . For a charge of about two dollars per month ,",two,two,dollars,month
166,60 Years of MotoGPenlargeAuthor : Michael ScottPublisher : Carlton Books LtdCategory : BookList Price:$ 37.23 Buy New:$ 36.29 You Save:$ 0.94 ( 3 % ),37.23,37.23,$,-
167,"Meanwhile , the Red Sox also have finalized a one - year contract with pitcher Brad Penny , a deal worth about US$ 5 million .",5 million,5 million,$,-
168,The Blu - ray will retail for a suggested list price of $ 18.99 .,18.99,18.99,$,-
169,"- Website Templates - Header Customization - Old price : $ 99 , discounted price : $ 79 ( you save $ 20 )",99,99,$,-
170,"collections : Anonymous buyer pays $ 30 million for 1,000 rare coins","1,000","1,000",-,-
171,"I am worth $ 2,167,868 on humanforsale.com ! ! HOW MUCH ARE YOU WORTH ? !","2,167,868","2,167,868",$,-
172,days after conception . It costs $ 30 to $ 50 to overwinter an open ewe and she is still not,30,50,$,-
173,Price : $ 19.95 ( 0 Bids)Buy It Now Price : $ 29.95 Sale Ends : 10 h 50 m,19.95,19.95,$,-
174,Genius Colorpage - SF 600 Sheet fed ScannerBrand : JVCList Price:$ 92.99 Buy New:$ 74.50 You Save:$ 18.49 ( 20 % ),92.99,92.99,$,-
175,cost of $ 10.5 million . His neighbors there include billionaire Ross Perot,10.5 million,10.5 million,$,-
176,web hosting affiliate program for webmasters is unbelievable - they pay a whopping $ 65 per,65,65,$,-
177,services unless pay $ 1000 .- Does your words affect the palm of your,1000,1000,$,-
178,emergencies . Prospective hosts will pay $ 11 to set up as many as five,11,11,$,-
179,"I Believe In You , Neutral Mat , Framed ArtAuthor : Larry HowlandRetail Price : $ 35.00",35.00,35.00,$,-
180,"Established Car Wash Business For Sale - Price Reduced from $ 850 K to - $ 725000 - ( Columbus , Ohio ) pic",850,850,$,-
181,University of Michigan to pay $ 2.5 million toward Rich Rodriguez settlement,2.5 million,2.5 million,$,-
182,Bones - Season 3 Studio : Fox / MGMList Price:$ 59.98 Buy New:$ 25.42 You Save:$ 34.56 ( 58 % ),25.42,25.42,$,-
183,Convention rooms at the Sherman Hotel in Chicago cost $ 9 each for a single,9,9,$,each
184,Price:$ 475.00 ( Item : 4607JC ),475.00,475.00,$,-
185,All exams cost US $ 200 and are available through VUE .,200,200,$,-
186,Investment Biker : Around the World with Jim RogersAuthor : Jim RogersList Price:$ 14.95 Buy Used:$ 4.95 You Save:$ 10.00 ( 67 % ),14.95,14.95,$,-
187,"Price Max$ 100,000 $ 150,000 $ 250,000 $ 350,000 $ 500,000 $ 750,000 $ 1,000,000 $ 1 , 500,000 $ 2,000,000 $ 2 , 500,000 $ 3,000,000 $ 4,000,000 $ 5,000,000Any","100,000","100,000",$,-
188,I have one spare Big Day Out Ticket that i must sell today ! $ 150 I will express post it to you today ! Call Emma 0402 324 368,150,150,$,-
189,that changing their domain name could cost approximately $ 1 million in,1 million,1 million,$,-
190,promotion price $ 320 / pcs,320,320,$,-
191,"A special election , which City Secretary Anna Russell said will cost between $ 500,000 and $ 700,000 , can not be held until Jan. 18 .","500,000","700,000",$,-
192,Resident Evil 5 From : CapcomList Price:$ 59.99 Buy New:$ 56.99 You Save:$ 3.00 ( 5 % ),59.99,59.99,$,-
193,Rosetta Stone with Audio Companion and cs 4 lowest prices available - $ 64 - ( augusta ),64,64,$,-
194,COST - A one time Set - up Fee of $ 250 US plus the cost of ADs,250,250,$,-
195,"tentatively agreed to pay$ 970,000 . * The 9.3-acre Mount Olympus property , which the city hasproposed","970,000","970,000",$,-
196,retail price : $ 23.99 our price : $ 23.99,23.99,23.99,$,-
197,Price:$ 125.00 ( Item : SHEP- 3135 ),125.00,125.00,$,-
198,"completed , was projected to cost US$ 27 billion . South Korean",27 billion,27 billion,$,-
199,* Uranium Mining Prices in 2008 : $ 255/lb . Is Just the Beginning,255/lb,255/lb,$,-
200,"Makita 194157 - 8 1434 14.4 -Volt 2.6 Amp Hour NiMH Pod Style Battery , 2 PackBrand : MakitaList Price:$ 149.90 Buy New:$ 78.15 You Save:$ 71.75 ( 48 % )",194157,8 1434 14.4,-,-
201,I will give you access to thousands of shops that pay an average $ 50 - $ 75,50,75,$,-
202,Consumer cost : $ 2.25 for state no call list,2.25,2.25,$,-
203,"[ Disclosure ] An author of this article , Shunichi Arai , has received Mitoh grant twice which are worth more than 10 million yen total .",10 million,-,-,-
204,"Mt of starch , worth over US$ 20,000 .","20,000","20,000",$,-
205,# DP- 26 Gymnastics - Price $ 9.00,9.00,9.00,$,-
206,"Balloon 321 Qualatex AppleOur Price : $ 17.30More DetailsBUY NOWTwo colors , and a unique design make these balloons look just like an apple .",17.30More,17.30More,$,-
207,"and Seward . Prices starting from $ 2089 per person , based on double occupancy .",2089,2089,$,person
208,myhotcommets.com Estimated Worth $ 452.6 USD by websiteoutlookMyhotcommets Myspace,452.6,452.6,$,-
209,"need with the lowest prices , $ 69.93 , see site , at",69.93,69.93,$,-
210,"You can get this product shipped to you , for only US$ 3.95 ( shipping cost ) regardless of the quantity ordered !",3.95,3.95,$,-
211,Brand : Amazon.com CollectionList Price:$ 35.00 Buy New:$ 25.00 You Save:$ 10.00 ( 29 % ),35.00,35.00,$,-
212,new microcomputer technology . Wintek 's three - day course cost $ 495 and included,495,495,$,-
213,"disk(s ) for you- cost $ 8.50 per lecture , minus our web ordering discount .",8.50,8.50,$,lecture
214,Report found that nosocomial infections cost $ 5 billion annually,5 billion,5 billion,$,-
215,PARENTS SALUTE CHILDREN I - IIOur Price : $ 9.00,9.00,9.00,$,-
216,"How much does hate cost ? $ 15,708,921","15,708,921","15,708,921",$,-
217,A California jury has ordered drugmaker Pfizer to pay $ 38 million to a leading Bay Area medical research nonprofit for stealing trade secrets to develop a pain relief drug .,38 million,38 million,$,-
218,Home > Furniture > Bedroom > Beds > Platform Beds > Reviews : Top Rated > Price Range:$ 100 to $ 200,100,200,$,-
219,Dance Praise 2 -The Remix with PadAuthor : NONEOur Price : $ 44.99,44.99,44.99,$,-
220,Member Price : $ 5.00 & nbspNon - Member Price : $ 5.00&nbsp,5.00,5.00,$,-
221,"The books cost $ 29.95 each . To order , please contact",29.95,29.95,$,each
222,SP- 590 UZ Estimated Street Price : $ 449.99 ( U.S. ),449.99,449.99,$,-
223,Postage and packing costs - for up to three moulds it costs $ 5.70 or for 4 - 6 moulds it costs $ 6.90 to post to anywhere within Australia .,4,6,-,-
224,HP LaserJet P 1006 PrinterBrand : Hewlett - PackardList Price:$ 232.00 Buy New:$ 75.00 You Save:$ 157.00 ( 68 % ),232.00,232.00,$,-
225,Mills Tactical Aluminum Training Knife -- price $ 32.00,32.00,32.00,$,-
226,card price is $ 12.00 and is available from the bookstore .,12.00,12.00,$,-
227,Why pay $ 23.90 for internet access ? For less than half that price,23.90,23.90,$,-
228,APIO.OB does n't currently meet the $ 100 M market cap / $ 1.50 stock price minimum . ( Learn More ),1.50,1.50,$,-
229,"I would be willing to pay $ 20 -$ 30 a month for having wifi everywhere , which would let me cancel my home DSL and mobile phone contract .",30,30,$,month
230,"worth $ 1.3 billion in 2003 , the worlds 329th - richest person . He got there by co - founding MicroSolutions , which he sold",1.3 billion,1.3 billion,$,-
231,We charge a $ 10 order cancellation fee for orders placed that are,10,10,$,-
232,AMLAC : Federal Government Charges 6 In $ 40 Million Class - Action Settlement Fraud,40 Million,40 Million,$,-
233,to change if costs increase . The expected cost is $ 90 .,90,90,$,-
234,"family office can cost over $ 1 million to operate , so the family 's net worth",1 million,-,$,-
235,Price : $ 10 Adv / $ 12 Day Of Show,10,10,$,-
236,Costs : ~$ 250 /mo .,250,250,$,-
237,"It 's Our World Practice Book , Grade 1 Our Price : $ 2.99",2.99,2.99,$,-
238,"Cost : $ 140 /year , $ 5/drop - in",140,140,$,-
239,Price : $ 147.50 ( 9 Bids)Sale Ends : 2 h 20 m,147.50,147.50,$,-
240,Breed : Puggle Color : Black Gender : Female Size : Small Price : $ 275,275,275,$,-
241,"MSRP:$ 2,976.00 Sale Price:$ 2,618.00","2,976.00","2,976.00",$,-
242,Price under $ 15,-,15,$,-
243,"For crystal - gazing her charge was ten dollars : with a trance lego city cheats ps 2 addition , twenty - five .",twenty,five,-,-
244,Brand : PetmateCategory : Pet ProductsList Price:$ 5.99 Buy New:$ 3.75 You Save:$ 2.24 ( 37 % ),5.99,5.99,$,-
245,"which costs $ 15 one way ( $ 27 round trip ) . It leaves every hour on the hour ,",15 one,15 one,$,-
246,"2003 Toyota Tacoma , Ad ID : 150875 . Price , $ 13750.00 . Online Pharmacy",13750.00,13750.00,$,-
247,communities around our coasts could cost an estimated $ 1 billion over the,1 billion,1 billion,$,-
248,"Inside Front or Back Cover ( up to 3 photos , contact editor for additional color charge ) : $ 125",-,3,$,-
249,Click to See More String Lights White Nylon String LightsSH 50 FRegular price : US $ 22.00 Sale price : US $ 16.00 Rainbow Nylon String LightSH 51 F US $ 22.00,22.00,22.00,$,-
250,deposit is required . Students pay $ 25 lab fee and furnish own film .,25,25,$,-
251,* NON - REFUNDABLE charge of $ 10 will be added to your entry fee .,10,10,$,-
252,"After that , you pay $ 1 each additional bill . If you want access",1,1,$,each
253,NewsFlash ! Apollo Group Ordered to Pay $ 280 Million,280 Million,280 Million,$,-
254,"For that price ( $ 80 ) , it should be a little miracle - worker ! !",80,80,$,-
255,Admission Policies & Costs : Application including manuscripts & writing samples . Suggested cost is $ 30 /day - based on sliding scale .,30,30,$,-
256,cpfansclub.com Estimated Worth $ 3606.2 USD by websiteoutlookBellacas Con,3606.2,3606.2,$,-
257,BTW it only cost me $ 17 k. :),17,17,$,-
258,ben 10 .com Estimated Worth $ 1481.9 USD by websiteoutlook ... < ! --,1481.9,1481.9,$,-
259,Price : Only $ 24 per person,24,24,$,person
260,"Price : $ 250 , sterling silver .",250,250,$,-
261,Cost : $ 160 per camper.$ 50 deposit is due at the time of registration .,160,160,$,camper.$
262,Pre - Production Cost Allocationacre $ 1 $,1,1,$,-
263,Dance Praise Expansion Pack # 5 Praise and WorshipAuthor : Digital PraiseOur Price : $ 21.99,21.99,21.99,$,-
